"","Time","Temp","DO","Q"
"103",2018-08-28 02:11:00,6.95671,6.692015,1.030512
"104",2018-08-28 02:16:00,6.937453,6.702817,1.030473
"105",2018-08-28 02:21:00,6.927822,6.710949,1.031075
"106",2018-08-28 02:26:00,6.908556,6.721784,1.030723
"107",2018-08-28 02:31:00,6.889283,6.716261,1.030699
"108",2018-08-28 02:36:00,6.870003,6.72711,1.030972
"109",2018-08-28 02:41:00,6.860361,6.72981,1.030643
"110",2018-08-28 02:46:00,6.870003,6.72711,1.030972
"111",2018-08-28 02:51:00,6.879644,6.724412,1.031302
"112",2018-08-28 02:56:00,6.879644,6.708053,1.031005
"113",2018-08-28 03:01:00,6.860361,6.702543,1.030982
"114",2018-08-28 03:06:00,6.860361,6.697102,1.030675
"115",2018-08-28 03:11:00,6.850717,6.705234,1.030964
"116",2018-08-28 03:16:00,6.841071,6.707927,1.030635
"117",2018-08-28 03:21:00,6.831424,6.716073,1.031237
"118",2018-08-28 03:26:00,6.821775,6.718771,1.031219
"119",2018-08-28 03:31:00,6.821775,6.724229,1.031526
"120",2018-08-28 03:36:00,6.821775,6.713317,1.030601
"121",2018-08-28 03:41:00,6.821775,6.718771,1.030596
"122",2018-08-28 03:46:00,6.821775,6.724229,1.031214
"123",2018-08-28 03:51:00,6.821775,6.702422,1.030924
"124",2018-08-28 03:56:00,6.812124,6.716015,1.031208
"125",2018-08-28 04:01:00,6.812124,6.726931,1.031197
"126",2018-08-28 04:06:00,6.812124,6.732395,1.031192
"127",2018-08-28 04:11:00,6.821775,6.740627,1.031823
"128",2018-08-28 04:16:00,6.821775,6.729691,1.030897
"129",2018-08-28 04:21:00,6.831424,6.721529,1.030919
"130",2018-08-28 04:26:00,6.831424,6.721529,1.031231
"131",2018-08-28 04:31:00,6.841071,6.71883,1.030937
"132",2018-08-28 04:36:00,6.841071,6.729749,1.031238
"133",2018-08-28 04:41:00,6.850717,6.727048,1.031568
"134",2018-08-28 04:46:00,6.860361,6.718891,1.030966
"135",2018-08-28 04:51:00,6.860361,6.713438,1.030971
"136",2018-08-28 04:56:00,6.870003,6.716196,1.030983
"137",2018-08-28 05:01:00,6.879644,6.708053,1.031005
"138",2018-08-28 05:06:00,6.879644,6.713502,1.031624
"139",2018-08-28 05:11:00,6.889283,6.71081,1.031329
"140",2018-08-28 05:16:00,6.908556,6.705431,1.031363
"141",2018-08-28 05:21:00,6.89892,6.697234,1.031045
"142",2018-08-28 05:26:00,6.908556,6.689115,1.031379
"143",2018-08-28 05:31:00,6.908556,6.683685,1.031073
"144",2018-08-28 05:36:00,6.908556,6.705431,1.031676
"145",2018-08-28 05:41:00,6.908556,6.699989,1.031369
"146",2018-08-28 05:46:00,6.908556,6.699989,1.031369
"147",2018-08-28 05:51:00,6.908556,6.689115,1.031379
"148",2018-08-28 05:56:00,6.908556,6.710878,1.031983
"149",2018-08-28 06:01:00,6.908556,6.710878,1.031983
"150",2018-08-28 06:06:00,6.908556,6.710878,1.031983
"151",2018-08-28 06:11:00,6.91819,6.697304,1.031698
"152",2018-08-28 06:16:00,6.927822,6.70006,1.031398
"153",2018-08-28 06:21:00,6.927822,6.694621,1.031091
"154",2018-08-28 06:26:00,6.927822,6.689187,1.031408
"155",2018-08-28 06:31:00,6.91819,6.702745,1.031693
"156",2018-08-28 06:36:00,6.91819,6.686435,1.031396
"157",2018-08-28 06:41:00,6.908556,6.689115,1.031067
"158",2018-08-28 06:46:00,6.908556,6.699989,1.031369
"159",2018-08-28 06:51:00,6.91819,6.691868,1.031079
"160",2018-08-28 06:56:00,6.91819,6.697304,1.031386
"161",2018-08-28 07:01:00,6.927822,6.710949,1.031387
"162",2018-08-28 07:06:00,6.927822,6.716399,1.031382
"163",2018-08-28 07:11:00,6.927822,6.743713,1.031357
"164",2018-08-28 07:16:00,6.937453,6.768417,1.03135
"165",2018-08-28 07:21:00,6.937453,6.801437,1.031636
"166",2018-08-28 07:26:00,6.937453,6.823532,1.031305
"167",2018-08-28 07:31:00,6.947082,6.842954,1.031305
"168",2018-08-28 07:36:00,6.947082,6.876308,1.031595
"169",2018-08-28 07:41:00,6.947082,6.898626,1.03158
"170",2018-08-28 07:46:00,6.95671,6.946309,1.031249
"171",2018-08-28 07:51:00,6.95671,6.997092,1.031538
"172",2018-08-28 07:56:00,6.95671,7.036828,1.030882
"173",2018-08-28 08:01:00,6.966336,7.085394,1.031512
"174",2018-08-28 08:06:00,6.97596,7.128509,1.031192
"175",2018-08-28 08:11:00,6.985582,7.195077,1.031508
"176",2018-08-28 08:16:00,6.995203,7.250513,1.030546
"177",2018-08-28 08:21:00,7.004823,7.335884,1.031193
"178",2018-08-28 08:26:00,7.024056,7.413268,1.031547
"179",2018-08-28 08:31:00,7.043283,7.479364,1.030606
"180",2018-08-28 08:36:00,7.043283,7.564207,1.031269
"181",2018-08-28 08:41:00,7.062504,7.637737,1.030991
"182",2018-08-28 08:46:00,7.081718,7.699551,1.030382
"183",2018-08-28 08:51:00,7.100926,7.786875,1.030778
"184",2018-08-28 08:56:00,7.129725,7.878373,1.031206
"185",2018-08-28 09:01:00,7.148916,7.967676,1.030957
"186",2018-08-28 09:06:00,7.177691,8.04831,1.03039
"187",2018-08-28 09:11:00,7.216035,8.159274,1.030541
"188",2018-08-28 09:16:00,7.263929,8.26186,1.030717
"189",2018-08-28 09:21:00,7.302215,8.335487,1.029831
"190",2018-08-28 09:26:00,7.330913,8.419866,1.030311
"191",2018-08-28 09:31:00,7.359596,8.484626,1.03078
"192",2018-08-28 09:36:00,7.397818,8.574071,1.031304
"193",2018-08-28 09:41:00,7.464646,8.661265,1.030848
"194",2018-08-28 09:46:00,7.531397,8.735359,1.030025
"195",2018-08-28 09:51:00,7.626621,8.82112,1.030685
"196",2018-08-28 09:56:00,7.712189,8.897002,1.030258
"197",2018-08-28 10:01:00,7.788145,8.96992,1.030522
"198",2018-08-28 10:06:00,7.864001,9.021711,1.030042
"199",2018-08-28 10:11:00,7.92083,9.095562,1.029915
"200",2018-08-28 10:16:00,8.04377,9.167525,1.029565
"201",2018-08-28 10:21:00,8.138165,9.250955,1.029538
"202",2018-08-28 10:26:00,8.241827,9.346838,1.029556
"203",2018-08-28 10:31:00,8.457997,9.431293,1.029063
"204",2018-08-28 10:36:00,8.635989,9.508537,1.029216
"205",2018-08-28 10:41:00,8.710777,9.556872,1.029095
"206",2018-08-28 10:46:00,8.673394,9.586854,1.02907
"207",2018-08-28 10:51:00,8.626634,9.636188,1.029061
"208",2018-08-28 10:56:00,8.617277,9.694671,1.029528
"209",2018-08-28 11:01:00,8.654694,9.758796,1.02936
"210",2018-08-28 11:06:00,8.710777,9.792129,1.029173
"211",2018-08-28 11:11:00,8.766808,9.817666,1.029348
"212",2018-08-28 11:16:00,8.813462,9.83904,1.029876
"213",2018-08-28 11:21:00,8.869399,9.832808,1.028847
"214",2018-08-28 11:26:00,8.915975,9.838294,1.029343
"215",2018-08-28 11:31:00,8.962516,9.851814,1.029855
"216",2018-08-28 11:36:00,9.027614,9.866018,1.029649
"217",2018-08-28 11:41:00,9.120494,9.909456,1.029565
"218",2018-08-28 11:46:00,9.222502,9.901074,1.028624
"219",2018-08-28 11:51:00,9.268814,9.931056,1.029174
"220",2018-08-28 11:56:00,9.296586,9.952352,1.029668
"221",2018-08-28 12:01:00,9.361338,9.942714,1.029021
"222",2018-08-28 12:06:00,9.379826,9.943442,1.029836
"223",2018-08-28 12:11:00,9.462957,9.926532,1.028827
"224",2018-08-28 12:16:00,9.490644,9.939801,1.029304
"225",2018-08-28 12:21:00,9.518318,9.920706,1.028939
"226",2018-08-28 12:26:00,9.555198,9.962763,1.029499
"227",2018-08-28 12:31:00,9.647307,9.958572,1.029309
"228",2018-08-28 12:36:00,9.702508,9.960985,1.029438
"229",2018-08-28 12:41:00,9.757663,9.963439,1.029178
"230",2018-08-28 12:46:00,9.821951,9.946036,1.028505
"231",2018-08-28 12:51:00,9.950336,9.97643,1.028466
"232",2018-08-28 12:56:00,10.005281,10.003572,1.029433
"233",2018-08-28 13:01:00,10.032737,9.98449,1.029061
"234",2018-08-28 13:06:00,10.041886,9.980858,1.028681
"235",2018-08-28 13:11:00,10.032737,9.98449,1.029061
"236",2018-08-28 13:16:00,10.087614,10.05276,1.02973
"237",2018-08-28 13:21:00,10.133309,10.042744,1.028234
"238",2018-08-28 13:26:00,10.188103,10.078508,1.030018
"239",2018-08-28 13:31:00,10.32489,10.073389,1.028733
"240",2018-08-28 13:36:00,10.65205,10.13338,1.029214
"241",2018-08-28 13:41:00,10.833133,10.177813,1.029733
"242",2018-08-28 13:46:00,11.040796,10.153462,1.028537
"243",2018-08-28 13:51:00,11.148899,10.18576,1.028454
"244",2018-08-28 13:56:00,11.274813,10.169182,1.026264
"245",2018-08-28 14:01:00,11.328708,10.189718,1.027652
"246",2018-08-28 14:06:00,11.37359,10.197085,1.028587
"247",2018-08-28 14:11:00,11.436378,10.197355,1.027915
"248",2018-08-28 14:16:00,11.364616,10.209077,1.028187
"249",2018-08-28 14:21:00,11.337687,10.219815,1.028558
"250",2018-08-28 14:26:00,11.346664,10.233109,1.029427
"251",2018-08-28 14:31:00,11.364616,10.192244,1.028555
"252",2018-08-28 14:36:00,11.391535,10.181543,1.028999
"253",2018-08-28 14:41:00,11.418444,10.162473,1.029016
"254",2018-08-28 14:46:00,11.454307,10.156647,1.029084
"255",2018-08-28 14:51:00,11.481193,10.154385,1.029549
"256",2018-08-28 14:56:00,11.490153,10.142467,1.029541
"257",2018-08-28 15:01:00,11.517026,10.131854,1.028354
"258",2018-08-28 15:06:00,11.543889,10.112912,1.028371
"259",2018-08-28 15:11:00,11.615475,10.143214,1.029423
"260",2018-08-28 15:16:00,11.63336,10.111086,1.028163
"261",2018-08-28 15:21:00,11.597585,10.100128,1.028872
"262",2018-08-28 15:26:00,11.570742,10.102345,1.028815
"263",2018-08-28 15:31:00,11.561792,10.097531,1.028376
"264",2018-08-28 15:36:00,11.508069,10.08535,1.028633
"265",2018-08-28 15:41:00,11.436378,10.063675,1.028825
"266",2018-08-28 15:46:00,11.400506,10.052889,1.028313
"267",2018-08-28 15:51:00,11.364616,10.042137,1.029421
"268",2018-08-28 15:56:00,11.319728,10.001951,1.029225
"269",2018-08-28 16:01:00,11.283798,9.950304,1.028622
"270",2018-08-28 16:06:00,11.24785,9.907128,1.028444
"271",2018-08-28 16:11:00,11.229869,9.897821,1.028784
"272",2018-08-28 16:16:00,11.418444,9.930723,1.028882
"273",2018-08-28 16:21:00,11.517026,9.908907,1.027845
"274",2018-08-28 16:26:00,11.525981,9.905449,1.028261
"275",2018-08-28 16:31:00,11.517026,9.876345,1.028175
"276",2018-08-28 16:36:00,11.525981,9.905449,1.028261
"277",2018-08-28 16:41:00,11.481193,9.873894,1.028089
"278",2018-08-28 16:46:00,11.418444,9.865593,1.029135
"279",2018-08-28 16:51:00,11.400506,9.872505,1.028709
"280",2018-08-28 16:56:00,11.391535,9.884087,1.028715
"281",2018-08-28 17:01:00,11.355641,9.873573,1.02821
"282",2018-08-28 17:06:00,11.310747,9.890912,1.029351
"283",2018-08-28 17:11:00,11.256839,9.854941,1.029148
"284",2018-08-28 17:16:00,11.211884,9.83992,1.029412
"285",2018-08-28 17:21:00,11.184897,9.785857,1.028832
"286",2018-08-28 17:26:00,11.130894,9.774465,1.029084
"287",2018-08-28 17:31:00,11.094868,9.772243,1.029792
"288",2018-08-28 17:36:00,11.103876,9.76879,1.029011
"289",2018-08-28 17:41:00,11.076849,9.76313,1.029731
"290",2018-08-28 17:46:00,11.03178,9.732437,1.029562
"291",2018-08-28 17:51:00,10.968635,9.692885,1.029334
"292",2018-08-28 17:56:00,10.8964,9.657015,1.029489
"293",2018-08-28 18:01:00,10.851215,9.62684,1.030108
"294",2018-08-28 18:06:00,10.815046,9.601232,1.02919
"295",2018-08-28 18:11:00,10.778858,9.575723,1.029056
"296",2018-08-28 18:16:00,10.751704,9.578151,1.029002
"297",2018-08-28 18:21:00,10.72454,9.588419,1.029744
"298",2018-08-28 18:26:00,10.706425,9.556164,1.029246
"299",2018-08-28 18:31:00,10.67018,9.546429,1.029924
"300",2018-08-28 18:36:00,10.642984,9.509995,1.029011
"301",2018-08-28 18:41:00,10.597633,9.472796,1.029611
"302",2018-08-28 18:46:00,10.570408,9.42902,1.029461
"303",2018-08-28 18:51:00,10.534091,9.373569,1.029655
"304",2018-08-28 18:56:00,10.50684,9.376044,1.029601
"305",2018-08-28 19:01:00,10.470489,9.336171,1.03021
"306",2018-08-28 19:06:00,10.434119,9.27384,1.029243
"307",2018-08-28 19:11:00,10.397729,9.219486,1.029822
"308",2018-08-28 19:16:00,10.343107,9.13494,1.029545
"309",2018-08-28 19:21:00,10.306667,9.04474,1.030431
"310",2018-08-28 19:26:00,10.251971,8.940243,1.030126
"311",2018-08-28 19:31:00,10.206357,8.84822,1.029498
"312",2018-08-28 19:36:00,10.160712,8.771447,1.029278
"313",2018-08-28 19:41:00,10.124173,8.706336,1.030574
"314",2018-08-28 19:46:00,10.069326,8.62013,1.029591
"315",2018-08-28 19:51:00,10.023586,8.545564,1.030847
"316",2018-08-28 19:56:00,9.977815,8.437551,1.02987
"317",2018-08-28 20:01:00,9.932011,8.337734,1.030365
"318",2018-08-28 20:06:00,9.867832,8.225296,1.030096
"319",2018-08-28 20:11:00,9.821951,8.121609,1.030241
"320",2018-08-28 20:16:00,9.776037,8.038726,1.031476
"321",2018-08-28 20:21:00,9.730092,7.943918,1.030583
"322",2018-08-28 20:26:00,9.693311,7.853705,1.030778
"323",2018-08-28 20:31:00,9.647307,7.767425,1.031314
"324",2018-08-28 20:36:00,9.610479,7.673092,1.03048
"325",2018-08-28 20:41:00,9.564415,7.594973,1.031033
"326",2018-08-28 20:46:00,9.52754,7.502774,1.030571
"327",2018-08-28 20:51:00,9.490644,7.423658,1.030809
"328",2018-08-28 20:56:00,9.453726,7.345382,1.031391
"329",2018-08-28 21:01:00,9.426024,7.265217,1.031317
"330",2018-08-28 21:06:00,9.389068,7.194403,1.030903
"331",2018-08-28 21:11:00,9.352091,7.130023,1.031168
"332",2018-08-28 21:16:00,9.324345,7.057868,1.031119
"333",2018-08-28 21:21:00,9.28733,7.00599,1.031392
"334",2018-08-28 21:26:00,9.259555,6.946267,1.031354
"335",2018-08-28 21:31:00,9.222502,6.889627,1.031635
"336",2018-08-28 21:36:00,9.185427,6.844489,1.031588
"337",2018-08-28 21:41:00,9.157607,6.802574,1.031558
"338",2018-08-28 21:46:00,9.120494,6.768928,1.031838
"339",2018-08-28 21:51:00,9.092644,6.727462,1.031489
"340",2018-08-28 21:56:00,9.064782,6.691651,1.031465
"341",2018-08-28 22:01:00,9.046201,6.669677,1.032095
"342",2018-08-28 22:06:00,9.009021,6.631304,1.031416
"343",2018-08-28 22:11:00,8.990423,6.609521,1.032046
"344",2018-08-28 22:16:00,8.962516,6.56367,1.031715
"345",2018-08-28 22:21:00,8.934595,6.549887,1.031364
"346",2018-08-28 22:26:00,8.915975,6.538949,1.031985
"347",2018-08-28 22:31:00,8.888034,6.530512,1.031631
"348",2018-08-28 22:36:00,8.86008,6.516806,1.031601
"349",2018-08-28 22:41:00,8.841437,6.500654,1.031587
"350",2018-08-28 22:46:00,8.813462,6.508086,1.032177
"351",2018-08-28 22:51:00,8.785474,6.48391,1.031839
