SampleID,CaCO3_mgL
Blaine_822_0600,149.00
Blaine_822_0800,176.00
Blaine_822_1000,168.29
Blaine_822_1200,150.00
Blaine_822_1400,192.00
Blaine_822_1600,155.00
Blaine_822_1800,156.00
Blaine_822_2000,154.00
Blaine_822_2200,155.00
Blaine_823_0000,191.00
Blaine_823_0200,192.00
Blaine_823_0400,189.00
Blaine_823_0600,150.00
