"",".id","DateTime","temp","oxy"
"103","Blaine",2018-08-16 19:30:00,18.75721,8.703803
"104","Blaine",2018-08-16 19:35:00,18.748841,8.684267
"105","Blaine",2018-08-16 19:40:00,18.748841,8.647665
"106","Blaine",2018-08-16 19:45:00,18.732102,8.608944
"107","Blaine",2018-08-16 19:50:00,18.723732,8.575185
"108","Blaine",2018-08-16 19:55:00,18.715362,8.534387
"109","Blaine",2018-08-16 20:00:00,18.69862,8.517764
"110","Blaine",2018-08-16 20:05:00,18.681877,8.451245
"111","Blaine",2018-08-16 20:10:00,18.665132,8.406502
"112","Blaine",2018-08-16 20:15:00,18.631639,8.387999
"113","Blaine",2018-08-16 20:20:00,18.61489,8.32268
"114","Blaine",2018-08-16 20:25:00,18.581388,8.297461
"115","Blaine",2018-08-16 20:30:00,18.547881,8.23776
"116","Blaine",2018-08-16 20:35:00,18.514368,8.206004
"117","Blaine",2018-08-16 20:40:00,18.48923,8.151549
"118","Blaine",2018-08-16 20:45:00,18.455707,8.106651
"119","Blaine",2018-08-16 20:50:00,18.413795,8.09139
"120","Blaine",2018-08-16 20:55:00,18.371874,8.029144
"121","Blaine",2018-08-16 21:00:00,18.329944,8.00075
"122","Blaine",2018-08-16 21:05:00,18.288004,7.959224
"123","Blaine",2018-08-16 21:10:00,18.254445,7.915652
"124","Blaine",2018-08-16 21:15:00,18.212489,7.88779
"125","Blaine",2018-08-16 21:20:00,18.162128,7.83628
"126","Blaine",2018-08-16 21:25:00,18.120149,7.808792
"127","Blaine",2018-08-16 21:30:00,18.08656,7.772693
"128","Blaine",2018-08-16 21:35:00,18.044564,7.739081
"129","Blaine",2018-08-16 21:40:00,18.002558,7.699276
"130","Blaine",2018-08-16 21:45:00,17.952137,7.681051
"131","Blaine",2018-08-16 21:50:00,17.918515,7.645701
"132","Blaine",2018-08-16 21:55:00,17.876478,7.63804
"133","Blaine",2018-08-16 22:00:00,17.834431,7.592637
"134","Blaine",2018-08-16 22:05:00,17.792373,7.585077
"135","Blaine",2018-08-16 22:10:00,17.758719,7.569033
"136","Blaine",2018-08-16 22:15:00,17.708225,7.545065
"137","Blaine",2018-08-16 22:20:00,17.674553,7.522937
"138","Blaine",2018-08-16 22:25:00,17.640875,7.507088
"139","Blaine",2018-08-16 22:30:00,17.598767,7.505899
"140","Blaine",2018-08-16 22:35:00,17.565073,7.483943
"141","Blaine",2018-08-16 22:40:00,17.522945,7.482789
"142","Blaine",2018-08-16 22:45:00,17.489235,7.467089
"143","Blaine",2018-08-16 22:50:00,17.455517,7.463729
"144","Blaine",2018-08-16 22:55:00,17.421792,7.46653
"145","Blaine",2018-08-16 23:00:00,17.379625,7.453142
"146","Blaine",2018-08-16 23:05:00,17.345883,7.431443
"147","Blaine",2018-08-16 23:10:00,17.312134,7.452648
"148","Blaine",2018-08-16 23:15:00,17.286817,7.434855
"149","Blaine",2018-08-16 23:20:00,17.244612,7.433812
"150","Blaine",2018-08-16 23:25:00,17.219284,7.440538
"151","Blaine",2018-08-16 23:30:00,17.185506,7.443393
"152","Blaine",2018-08-16 23:35:00,17.15172,7.434016
"153","Blaine",2018-08-16 23:40:00,17.126375,7.446882
"154","Blaine",2018-08-16 23:45:00,17.092576,7.431404
"155","Blaine",2018-08-16 23:50:00,17.067221,7.425931
"156","Blaine",2018-08-16 23:55:00,17.033408,7.428822
"157","Blaine",2018-08-17 00:00:00,17.008042,7.441695
"158","Blaine",2018-08-17 00:05:00,16.982672,7.424017
"159","Blaine",2018-08-17 00:10:00,16.957298,7.43689
"160","Blaine",2018-08-17 00:15:00,16.923458,7.439813
"161","Blaine",2018-08-17 00:20:00,16.898073,7.440482
"162","Blaine",2018-08-17 00:25:00,16.864219,7.44954
"163","Blaine",2018-08-17 00:30:00,16.847289,7.441837
